rec02BCOXzobUaoMp	i-986bf7c2f88103c050667e43aece0efb1aba4168e73ff199fc8b29c854b79819
rec0BYx3GmmdGPL1a	i-405fb93586c1c032aa0883213230e71a2992ced4d9df9ce086e0d498c4fad59b
rec0rVtFZ443BAnH2	i-b4de9773ecce761de3cd78b91dce37d5e2a4d319a5f5ebc549e1cde294a55464
rec0tjuSf1iwHmYM6	i-791f996d36bca1fa075bec691cda37d9184ab3b0abe05de3038004847338acd3
rec0u9Ln4Ah4SLJQL	i-eea09c40d8ae87e8f23b1007d0d1fef6ed1e890d9c0b123d4209883d2f6fcfcb
rec12MYpCnOX5Qwmm	i-efcaa3dd35051fbfa48e7f966f4f8cb79b9218dcb57bb0b5f7ad0d34ab82b94d
rec1AXLMBnf6qV2Lb	i-ec7ca280c8aa49350e8adb50ede95199534c9a2db71002c41eae6e14f6c56553
rec1GZekKtrewsft2	i-150f735a1a0740b4eddf3943ce0c3b750a02ca7cf72bc40805fef78688cab7ad
rec1TGKDhl5zA9jCv	i-6d273532a26180f13fe546a3ff1d4833d6a0a14246d1e502a360c7906ecbd7d2
rec1UidvakYxRoUzi	i-fca0b83e7b7fd7368716b9bcfdca2496e5380af66faea94543eb569c6702aae6
rec1dgaKU4d5oXZF6	i-0fdf8b7223ea206da960373ea316cf42456d6487d81da9be7f63b9353435acd5
rec1jy8otHBG46JdP	i-dc7db5360182e06713a7adb26b3ed672266a205cb531f83148f26fd72134a26a
rec1jyPpDVCr7Zi0e	i-0659f3883e1dfc24c9294961990578073382471d4c8bac7b882046a84d0788bf
rec1kCTlLG8m1ZGnS	i-b4b63d4d525cf18596145a5e8d48a86f90593d60f5bc2252b6f65ae8a3b363ac
rec1tDnHfacqxEbiG	i-2b778b0527582e0c42707553320f7da1c8ee43d321c67a4dcbbff82703c25b74
rec1uisdaACVTcyaP	i-8ae980b6ff01dfad2b88078f4cc89d62f0bec1737462111fada6b79de642951e
rec1zp0AnUiDNTkXq	i-35194334cd179a1cbceceb054f297d2616d64ecc259745eadb13a73521ab29ab
rec22xRepTqW9LxPr	i-0c90173da6470ed3ff5c242981127f1438ef97462e8d205457b8a4f8a202ccd5
rec25eGAvv2OObCdv	i-616846bb095fc0616df2c2424283822f1b4c219c787f84645712fe64d66df3fc
rec26prsBFhdfNnUL	i-e85dd790a70ef4668ee19f49ecd4793752b162a11ef891a09d5905f94b803adb
rec29E7TI6YYBruWY	i-550592ea252a6fb737acb171b51e99fb85282e5144cd5040140c83f192f134e0
rec2Bh0zL9YgnLvH0	i-ed0e5bb41cd87149876bed0ea07c28e6ee0c448b113ac75fe0dde50643f1097e
rec2Bo0gjH2FhIQRV	i-688324290cc35ec4b1ba45be9b294504fe1d252d24cb694a8ff6418bb6151420
rec2DFH02BWrJe4aI	i-a8a89bcba65f10f1cc8d0e9c7ac341b08ddb86eed6f38d6037373bbc1a052cdc
rec2Kv6espGHbgyTt	i-8855a3fca7d2398d29750ac24a1fd8636e548f84b68032affdfd7069bf19546e
rec2Ob9WkzBCCSuF4	i-753342c5d2df9d0d3d86d7a2e780463d753ccb970e32c304c1f9e6fb867d8b61
rec2nzG8wfSWlSsfj	i-027423b4cd46030a5cdf876dcf68700a1e78d50222ef5bda7e7f22ce7e8a5c4e
rec2wve3nOrqqzllu	i-a545956b05040a90ede5ebe94e832188e7994a39a585da11e804278371898d91
rec3E4YS48UdYG4OZ	i-f598a9a8a6fd17725037ea00316b27c1f96e95cfcda097340f8af42fbdf687bb
rec3NvY0v1iUaHRnV	i-4a050c2594f6fc9fdfbb6dcca55719d4e77a4bd51d01eb3d9c819d01b56bcee2
rec3dYUNF0vOFy9Br	i-99d6aa2a46b134ad969afc16d31067ce36043128cd06f98e6a23167b3fc911bb
rec3nXuZmwdZEPCXw	i-7c1f3ca43fb39bf0a9bb99c27d73b4994bc794c42daea75fb1ed79f083848680
rec3uLqWEuuO29ggj	i-a5ad1d3cddf6683c7cf49e00660c9c04f19f3ff9b3dbf3daa2dde0f0a7309ceb
rec3weVTRjWDQLEPf	i-66405ad44ebc146a9e905e2efb85f695e74b09d06be16385fb48d320188b5fd9
rec3zQeUOLvol4wam	i-f650e88d3214ce5b8f962f4707164efcf7ea0e23c57aa526f0e5e1b9113ee79a
